otter_region,site,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sediment_ww_pre_60C,pan_sediment_dw_post_60C,sediment_ww_pre_60C,sediment_dw_post_60C,dry_bulk_density,pan_sediment_dw_pre_450C,pan_sediment_dw_post450C,sediment_dw_pre_450C,sediment_dw_post_450C,OM_weight,crucible_weight,crucible_sediment_dw_pre_950C,crucible_sediment_dw_post_950C,sediment_dw_pre_950_C,sediment_dw_post950C,IM_weight
High,H01,A,10,0.9,17.6625,17.6625,10,1.27653,32.94226,23.98555,31.66573,22.70902,1.28572,23.98555,21.63157,22.70902,20.35504,2.35398,,,,,,
High,H01,A,11,0.9,17.6625,17.6625,11,1.28245,34.14386,25.66709,32.86141,24.38464,1.38059,25.66709,23.45582,24.38464,22.17337,2.21127,,,,,,
High,H01,A,12,0.9,17.6625,17.6625,12,1.28335,37.94031,29.94762,36.65696,28.66427,1.62289,29.94762,28.03093,28.66427,26.74758,1.91669,27.12313,55.67862,53.27965,28.55549,26.15652,2.39897
High,H01,A,13,0.8,15.7,15.7,13,1.28029,29.01294,21.68776,27.73265,20.40747,1.29984,21.68776,19.71014,20.40747,18.42985,1.97762,,,,,,
High,H01,A,14,0.9,17.6625,17.6625,14,1.29542,30.59581,22.18805,29.30039,20.89263,1.18288,22.18805,20.41719,20.89263,19.12177,1.77086,,,,,,
High,H01,A,15,0.9,17.6625,17.6625,15,1.29186,34.92765,25.98728,33.63579,24.69542,1.39818,25.98728,23.7796,24.69542,22.48774,2.20768,,,,,,
High,H01,A,16,0.9,17.6625,17.6625,16,1.29424,34.70211,27.2846,33.40787,25.99036,1.4715,27.2846,25.26674,25.99036,23.9725,2.01786,,,,,,
High,H01,A,17,1,19.625,19.625,17,1.27953,42.6356,34.927,41.35607,33.64747,1.71452,34.927,32.70384,33.64747,31.42431,2.22316,24.96815,58.22798,53.75194,33.25983,28.78379,4.47604
High,H01,A,18,0.7,13.7375,13.7375,18,1.29405,31.0239,26.36844,29.72985,25.07439,1.82525,26.36844,24.42393,25.07439,23.12988,1.94451,,,,,,
High,H01,A,19,1,19.625,19.625,19,1.28679,42.02636,36.05597,40.73957,34.76918,1.77168,36.05597,34.28464,34.76918,32.99785,1.77133,,,,,,
High,H01,A,20,1,19.625,19.625,20,1.28756,41.22818,35.66005,39.94062,34.37249,1.75146,35.66005,33.74538,34.37249,32.45782,1.91467,,,,,,
Low,L01,A,1,1.5,29.4375,29.4375,1,1.3127,55.38067,40.64282,54.06797,39.33012,1.33606,40.64282,38.25293,39.33012,36.94023,2.38989,,,,,,
Low,L01,A,2,1.3,25.5125,25.5125,2,1.29973,53.16598,40.05411,51.86625,38.75438,1.51903,40.05411,37.59172,38.75438,36.29199,2.46239,26.92544,65.1572,62.46189,38.23176,35.53645,2.69531
Low,L01,A,3,1.3,25.5125,25.5125,3,1.30294,51.56751,39.31645,50.26457,38.01351,1.49,39.31645,35.13885,38.01351,33.83591,4.1776,,,,,,
Low,L01,A,4,1.2,23.55,23.55,4,1.26919,49.45623,37.56088,48.18704,36.29169,1.54105,37.56088,35.23741,36.29169,33.96822,2.32347,,,,,,
Low,L01,A,5,1.4,27.475,27.475,5,1.32715,52.81782,39.64214,51.49067,38.31499,1.39454,39.64214,37.15544,38.31499,35.82829,2.4867,,,,,,
Low,L01,A,6,1.3,25.5125,25.5125,6,1.28462,49.24359,36.40923,47.95897,35.12461,1.37676,36.40923,33.68014,35.12461,32.39552,2.72909,,,,,,
Low,L01,A,7,1.2,23.55,23.55,7,1.29831,45.87103,33.28286,44.57272,31.98455,1.35815,33.28286,30.38641,31.98455,29.0881,2.89645,26.70549,57.92757,54.80498,31.22208,28.09949,3.12259
Low,L01,A,8,1.3,25.5125,25.5125,8,1.29578,51.54713,38.59706,50.25135,37.30128,1.46208,38.59706,36.04487,37.30128,34.74909,2.55219,,,,,,
Low,L01,A,9,1.2,23.55,23.55,9,1.28319,47.84339,36.05944,46.5602,34.77625,1.4767,36.05944,33.50217,34.77625,32.21898,2.55727,,,,,,
Low,L01,A,10,1.3,25.5125,25.5125,10,1.28174,51.17329,39.0877,49.89155,37.80596,1.48186,39.0877,36.40145,37.80596,35.11971,2.68625,,,,,,
Low,L01,A,11,1.3,25.5125,25.5125,11,1.29089,51.10914,39.32175,49.81825,38.03086,1.49068,39.32175,37.25215,38.03086,35.96126,2.0696,,,,,,
Low,L01,A,12,1.4,27.475,27.475,12,1.29725,54.71964,41.81554,53.42239,40.51829,1.47473,41.81554,38.97783,40.51829,37.68058,2.83771,28.00084,67.75336,64.76268,39.75252,36.76184,2.99068
Low,L01,A,13,1.3,25.5125,25.5125,13,1.29277,53.20262,40.73557,51.90985,39.4428,1.54602,40.73557,37.69081,39.4428,36.39804,3.04476,,,,,,
Low,L01,A,14,1.4,27.475,27.475,14,1.2607,53.68241,41.33775,52.42171,40.07705,1.45867,41.33775,38.90745,40.07705,37.64675,2.4303,,,,,,
Low,L01,A,15,1.2,23.55,23.55,15,1.2923,50.62334,39.16674,49.33104,37.87444,1.60826,39.16674,36.6057,37.87444,35.3134,2.56104,,,,,,
Low,L01,A,16,1.3,25.5125,25.5125,16,1.29781,50.8622,39.05067,49.56439,37.75286,1.47978,39.05067,36.82535,37.75286,35.52754,2.22532,,,,,,
Low,L01,A,17,1.2,23.55,23.55,17,1.2954,49.87483,38.22054,48.57943,36.92514,1.56795,38.22054,35.84657,36.92514,34.55117,2.37397,25.75641,62.28393,59.32626,36.52752,33.56985,2.95767
Low,L01,A,18,1.1,21.5875,21.5875,18,1.29554,43.73773,33.2774,42.44219,31.98186,1.4815,33.2774,30.85387,31.98186,29.55833,2.42353,,,,,,
Low,L01,A,19,1.3,25.5125,25.5125,19,1.27834,51.38042,38.47168,50.10208,37.19334,1.45785,38.47168,35.97865,37.19334,34.70031,2.49303,,,,,,
Low,L05,A,1,1.1,21.5875,21.5875,1,1.30343,34.26089,21.85335,32.95746,20.54992,0.95194,21.85335,19.6409,20.54992,18.33747,2.21245,26.70737,46.66426,44.55102,19.95689,17.84365,2.11324
Low,L05,A,2,0.8,15.7,15.7,2,1.32089,33.60274,27.23109,32.28185,25.9102,1.65033,27.23109,25.1266,25.9102,23.80571,2.10449,,,,,,
Low,L05,A,3,0.9,17.6625,17.6625,3,1.27498,38.80583,31.32908,37.53085,30.0541,1.70158,31.32908,28.20695,30.0541,26.93197,3.12213,,,,,,
Low,L05,A,4,0.9,17.6625,17.6625,4,1.24966,38.64811,31.03898,37.39845,29.78932,1.68659,31.03898,28.45014,29.78932,27.20048,2.58884,,,,,,
Low,L05,A,5,0.8,15.7,15.7,5,1.30298,32.50758,26.12023,31.2046,24.81725,1.58072,26.12023,23.94263,24.81725,22.63965,2.1776,,,,,,
Low,L05,A,6,1,19.625,19.625,6,1.29853,39.06652,31.35117,37.76799,30.05264,1.53134,31.35117,29.3849,30.05264,28.08637,1.96627,25.18351,54.9244,52.63207,29.74089,27.44856,2.29233
Low,L05,A,7,0.6,11.775,11.775,7,1.28897,25.87755,20.67617,24.58858,19.3872,1.64647,20.67617,17.48553,19.3872,16.19656,3.19064,,,,,,
Low,L05,A,8,1,19.625,19.625,8,1.27704,38.03399,29.47939,36.75695,28.20235,1.43706,29.47939,27.44191,28.20235,26.16487,2.03748,,,,,,
Low,L05,A,9,0.8,15.7,15.7,9,1.2743,29.6053,23.77829,28.331,22.50399,1.43338,23.77829,21.97111,22.50399,20.69681,1.80718,,,,,,
Low,L05,A,10,0.9,17.6625,17.6625,10,1.29648,40.5063,34.04466,39.20982,32.74818,1.85411,34.04466,31.34516,32.74818,30.04868,2.6995,,,,,,
Low,L05,A,11,0.9,17.6625,17.6625,11,1.27823,35.58289,29.67543,34.30466,28.3972,1.60777,29.67543,27.92614,28.3972,26.64791,1.74929,28.14649,56.41686,54.13839,28.27037,25.9919,2.27847
Low,L05,A,12,1,19.625,19.625,12,1.29096,41.02454,33.3988,39.73358,32.10784,1.63607,33.3988,31.09908,32.10784,29.80812,2.29972,,,,,,
Low,L05,A,13,0.8,15.7,15.7,13,1.2818,36.9162,31.67875,35.6344,30.39695,1.93611,31.67875,29.60266,30.39695,28.32086,2.07609,,,,,,
Low,L05,A,14,0.9,17.6625,17.6625,14,1.29452,45.02112,40.08909,43.7266,38.79457,2.19644,40.08909,38.41425,38.79457,37.11973,1.67484,,,,,,
Low,L05,A,15,0.9,17.6625,17.6625,15,1.30714,34.72462,29.90043,33.41748,28.59329,1.61887,29.90043,28.01439,28.59329,26.70725,1.88604,,,,,,
Low,L05,A,16,0.8,15.7,15.7,16,1.28188,39.54759,34.89626,38.26571,33.61438,2.14104,34.89626,33.11949,33.61438,31.83761,1.77677,26.40811,59.78589,57.34262,33.37778,30.93451,2.44327
Low,L05,A,17,0.9,17.6625,17.6625,17,1.25153,43.43618,38.26904,42.18465,37.01751,2.09583,38.26904,36.38583,37.01751,35.1343,1.88321,,,,,,
Low,L05,A,18,0.8,15.7,15.7,18,1.28604,36.34306,31.89184,35.05702,30.6058,1.94941,31.89184,30.08753,30.6058,28.80149,1.80431,,,,,,
Low,L05,A,19,0.9,17.6625,17.6625,19,1.29194,39.29634,33.63072,38.0044,32.33878,1.83093,33.63072,31.63181,32.33878,30.33987,1.99891,,,,,,
Low,L05,A,20,0.8,15.7,15.7,20,1.25774,32.63294,28.0874,31.3752,26.82966,1.7089,28.0874,26.09344,26.82966,24.8357,1.99396,,,,,,
Low,L05,A,21,0.9,17.6625,17.6625,21,1.29804,41.0332,35.09534,39.73516,33.7973,1.91351,35.09534,33.06244,33.7973,31.7644,2.0329,28.56188,61.95224,59.28931,33.39036,30.72743,2.66293
Low,L05,A,22,0.8,15.7,15.7,22,1.31074,34.26401,29.87649,32.95327,28.56575,1.81947,29.87649,27.91047,28.56575,26.59973,1.96602,,,,,,
Low,L05,A,23,0.9,17.6625,17.6625,23,1.31855,40.09972,35.23236,38.78117,33.91381,1.9201,35.23236,33.08586,33.91381,31.76731,2.1465,,,,,,
Low,L05,A,24,0.8,15.7,15.7,24,1.27724,33.1242,28.86552,31.84696,27.58828,1.75722,28.86552,26.99309,27.58828,25.71585,1.87243,,,,,,
Low,L05,A,25,0.9,17.6625,17.6625,25,1.28062,38.23022,33.41997,36.9496,32.13935,1.81964,33.41997,31.38003,32.13935,30.09941,2.03994,,,,,,
